Time,GPS_X,GPS_Y,Est_X,Est_Y,Theta
19.2,-0.0365522,-0.985749,-0.039412,-0.987454,-1.59478
19.264,-0.123244,-0.929357,-0.0411083,-0.987111,-1.59478
19.328,-0.161695,-0.93887,-0.0435397,-0.986967,-1.59478
19.392,-0.092054,-0.945204,-0.0445282,-0.986888,-1.59478
19.456,-0.116916,-1.02143,-0.0459971,-0.988462,-1.59478
19.52,-0.07063,-0.916492,-0.0465079,-0.987779,-1.59478
19.584,-0.0925857,-0.908416,-0.0474492,-0.987012,-1.59478
19.648,-0.133775,-0.975624,-0.0491954,-0.987604,-1.59478
19.712,-0.126773,-0.915233,-0.0507651,-0.986913,-1.59478
19.776,-0.109783,-0.883358,-0.0519666,-0.985725,-1.59478
19.84,-0.122255,-0.941023,-0.0533905,-0.985588,-1.59478
19.904,-0.0721301,-0.911,-0.053785,-0.984916,-1.59478
19.968,-0.124858,-0.887001,-0.0552261,-0.983777,-1.59478
20.032,-0.0974906,-0.848733,-0.0560896,-0.981833,-1.59478
20.096,-0.0995626,-0.907512,-0.0569802,-0.98123,-1.59478
20.16,-0.132347,-0.959202,-0.0585057,-0.981546,-1.59478
20.224,-0.0682606,-0.906101,-0.0587205,-0.980857,-1.59478
20.288,-0.135717,-0.975013,-0.0602801,-0.98156,-1.59478
20.352,-0.0459585,-0.896251,-0.0600118,-0.98061,-1.59478
20.416,-0.0987849,-0.92778,-0.0608084,-0.980437,-1.59478
20.48,-0.0595918,-0.854008,-0.0608022,-0.978665,-1.59478
20.544,-0.131913,-0.915794,-0.0622441,-0.978227,-1.59478
20.608,-0.0527004,-0.864204,-0.0620729,-0.976767,-1.59478
20.672,-0.146433,-0.940467,-0.0637783,-0.976798,-1.59478
20.736,-0.0918231,-0.939314,-0.0643603,-0.976931,-1.59478
20.8,-0.116593,-0.9349,-0.0654232,-0.976847,-1.59478
20.864,-0.095209,-0.918364,-0.0660385,-0.976497,-1.59478
20.928,-0.0666503,-1.08894,-0.0660704,-0.979566,-1.59478
20.992,-0.0815977,-0.932162,-0.0663991,-0.979375,-1.59478
21.056,-0.174363,-0.927774,-0.0685796,-0.979225,-1.59478
21.12,-0.149653,-0.98188,-0.0702192,-0.980035,-1.59478
21.184,-0.0773692,-1.00635,-0.0703819,-0.981381,-1.59478
21.248,-0.132796,-0.899628,-0.0716499,-0.980566,-1.59478
21.312,0.00635635,-0.924975,-0.0701079,-0.980211,-1.59478
21.376,-0.062218,-0.993886,-0.0699713,-0.981367,-1.59478
21.44,-0.199206,-0.957531,-0.0725741,-0.981647,-1.59478
21.504,-0.190412,-1.07346,-0.0749506,-0.984304,-1.59478
21.568,-0.111751,-1.02076,-0.0757062,-0.985853,-1.59478
21.632,-0.186416,-0.902773,-0.0779386,-0.984948,-1.59478
21.696,-0.14603,-0.893602,-0.0793216,-0.984004,-1.59478
21.76,-0.0818718,-0.854921,-0.0793908,-0.982179,-1.59478
21.824,-0.187522,-0.894585,-0.0815731,-0.981247,-1.59478
21.888,-0.173185,-0.894526,-0.083425,-0.980332,-1.59478
21.952,-0.108927,-0.930225,-0.0839532,-0.980087,-1.59478
22.016,-0.109898,-0.990352,-0.0844932,-0.981175,-1.59478
22.08,-0.163128,-0.825932,-0.0860841,-0.978827,-1.59478
22.144,-0.101421,-0.983723,-0.0864105,-0.979745,-1.59478
22.208,-0.117881,-0.938977,-0.0870596,-0.979749,-1.59478
22.272,-0.063568,-0.986046,-0.0866079,-0.980632,-1.59478
22.336,-0.131225,-0.855896,-0.0875214,-0.97902,-1.59478
22.4,-0.162441,-0.982981,-0.089038,-0.979856,-1.59478
22.464,-0.130195,-0.926822,-0.0898808,-0.979615,-1.59478
22.528,-0.0973153,-0.872213,-0.0900492,-0.978287,-1.59478
22.592,-0.10525,-0.935401,-0.0903713,-0.978186,-1.59478
22.656,-0.136083,-0.911276,-0.0913068,-0.977731,-1.59478
22.72,-0.10199,-0.968784,-0.0915386,-0.978309,-1.59478
22.784,-0.125402,-0.854246,-0.0922355,-0.976647,-1.59478
22.848,-0.175346,-1.10639,-0.0939174,-0.980062,-1.59478
22.912,-0.181355,-0.939249,-0.0956843,-0.980002,-1.59478
22.976,-0.18318,-1.02906,-0.0974554,-0.981866,-1.59478
23.04,-0.205597,-1.04344,-0.0996364,-0.983855,-1.59478
23.104,-0.0674069,-0.879053,-0.0990115,-0.982578,-1.59478
23.168,-0.0739066,-0.98748,-0.098529,-0.983496,-1.59478
23.232,-0.186376,-0.965581,-0.100304,-0.983895,-1.59478
23.296,-0.134106,-0.911478,-0.101001,-0.983329,-1.59478
23.36,-0.089067,-0.883647,-0.100781,-0.982092,-1.59478
23.424,-0.179077,-0.930006,-0.102366,-0.981871,-1.59478
23.488,-0.196631,-0.99942,-0.104271,-0.983041,-1.59478
23.552,-0.218404,-0.953245,-0.106572,-0.983202,-1.59478
23.616,-0.168406,-0.978145,-0.10783,-0.983984,-1.59478
23.68,-0.157047,-0.967687,-0.108833,-0.984415,-1.59478
23.744,-0.161412,-0.826914,-0.109904,-0.982085,-1.59478
23.808,-0.20232,-0.910539,-0.111772,-0.981474,-1.59478
23.872,-0.105082,-0.954581,-0.111656,-0.981692,-1.59478
23.936,-0.121321,-0.905827,-0.111871,-0.981058,-1.59478
24,-0.171334,-0.922474,-0.113078,-0.980643,-1.59478
24.064,-0.129753,-0.922825,-0.113431,-0.980307,-1.59478
24.128,-0.0590443,-0.934383,-0.112363,-0.980208,-1.59478
24.192,-0.164372,-0.945981,-0.113421,-0.98028,-1.59478
24.256,-0.104764,-0.932137,-0.113269,-0.9802,-1.59478
24.32,-0.194613,-0.905587,-0.114914,-0.979465,-1.59478
24.384,-0.145312,-1.02949,-0.115542,-0.981285,-1.59478
24.448,-0.176523,-1.01934,-0.116781,-0.982866,-1.59478
24.512,-0.174445,-0.856017,-0.117953,-0.981086,-1.59478
24.576,-0.170034,-0.898745,-0.119016,-0.980322,-1.59478
24.64,-0.162109,-0.938186,-0.119896,-0.980236,-1.59478
24.704,-0.1877,-0.987858,-0.121271,-0.981208,-1.59478
24.768,-0.139733,-0.903071,-0.12166,-0.980465,-1.59478
24.832,-0.15207,-0.915035,-0.122287,-0.979913,-1.59478
24.896,-0.13547,-0.89411,-0.122572,-0.97908,-1.59478
24.96,-0.178416,-0.888047,-0.123707,-0.978016,-1.59478
25.024,-0.131169,-0.914835,-0.123875,-0.977573,-1.59478
25.088,-0.140035,-0.801486,-0.124218,-0.974871,-1.59478
25.152,-0.0725656,-0.863481,-0.123203,-0.9734,-1.59478
25.216,-0.235425,-0.848934,-0.125469,-0.971793,-1.59478
25.28,-0.0626859,-0.977094,-0.124232,-0.972656,-1.59478
25.344,-0.253147,-0.84002,-0.12683,-0.970823,-1.59478
25.408,-0.162396,-0.975974,-0.127561,-0.971746,-1.59478
25.472,-0.114519,-0.960954,-0.127318,-0.972287,-1.59478
25.536,-0.104318,-0.942365,-0.126879,-0.972571,-1.59478
25.6,-0.146763,-1.04095,-0.127295,-0.974696,-1.59478
25.664,-0.182932,-0.962625,-0.128427,-0.975274,-1.59478
25.728,-0.203481,-1.0425,-0.129948,-0.977439,-1.59478
25.792,-0.183128,-0.937942,-0.13103,-0.977405,-1.59478
25.856,-0.125927,-0.993275,-0.130949,-0.978606,-1.59478
25.92,-0.191119,-0.965229,-0.13217,-0.979095,-1.59478
25.984,-0.217496,-0.913484,-0.133897,-0.978603,-1.59478
