Time,StepDist,GPS_X,GPS_Y,Odo_X,Odo_Y,Est_X,Est_Y,rk2_Est_X,rk2_Est_Y,Theta
3.04,0.0019311,-0.283786,-0.720291,-0.659327,-0.393068,-0.364688,-0.674951,-0.364692,-0.674948,0.921804
3.056,0.00186673,-0.228836,-0.732653,-0.65819,-0.391587,-0.360857,-0.674654,-0.360861,-0.674651,0.916175
3.072,0.0019311,-0.257196,-0.874166,-0.657006,-0.390062,-0.357623,-0.67715,-0.357627,-0.677146,0.910546
3.088,0.00180236,-0.285031,-0.641238,-0.655895,-0.388643,-0.355082,-0.675041,-0.355085,-0.675039,0.906457
3.104,0.0019311,-0.308156,-0.799711,-0.654696,-0.387129,-0.352969,-0.676051,-0.352973,-0.676047,0.900825
3.12,0.00186673,-0.386748,-0.802612,-0.653528,-0.385672,-0.3525,-0.677154,-0.352504,-0.677151,0.895193
3.136,0.0019311,-0.435055,-0.751669,-0.652312,-0.384172,-0.352959,-0.677175,-0.352964,-0.677171,0.889556
3.152,0.00186673,-0.212397,-0.73085,-0.651127,-0.38273,-0.348987,-0.676835,-0.348991,-0.676831,0.883024
3.168,0.00186673,-0.238316,-0.758492,-0.649933,-0.381295,-0.345603,-0.677062,-0.345607,-0.677058,0.876489
3.184,0.00186673,-0.35971,-0.725594,-0.648729,-0.379869,-0.344705,-0.676634,-0.34471,-0.676631,0.869949
3.2,0.00186673,-0.283616,-0.64407,-0.647517,-0.378449,-0.342296,-0.674592,-0.3423,-0.674588,0.864295
3.216,0.0019311,-0.332751,-0.668124,-0.646257,-0.376985,-0.340871,-0.673028,-0.340873,-0.673025,0.860165
3.232,0.00186673,-0.279822,-0.710747,-0.645036,-0.375573,-0.338453,-0.672398,-0.338455,-0.672397,0.857828
3.248,0.0019311,-0.384524,-0.760956,-0.64377,-0.374115,-0.338133,-0.672741,-0.338135,-0.67274,0.855491
3.264,0.0019311,-0.334122,-0.784974,-0.642495,-0.372665,-0.336804,-0.673564,-0.336808,-0.673561,0.849847
3.28,0.00186673,-0.273607,-0.715948,-0.641257,-0.371268,-0.334327,-0.673042,-0.334329,-0.67304,0.845726
3.296,0.0019311,-0.318054,-0.710849,-0.63997,-0.369827,-0.33274,-0.672387,-0.332743,-0.672385,0.84159
